36th Parliament, 1st Session
126	Highway Traffic Amendment Act (Photo-radar), 2001	
Hoy, Pat
127	Responsible Choices for Growth and Fiscal Responsibility Act (Budget Measures), 2001	
Flaherty, Hon. Jim Minister of Finance
128	Highway Memorials for Fallen Police Officers Act, 2002	
Bartolucci, Rick
129	Ontario Society for the Prevention of Cruelty to Animals Amendment Act, 2002	
Munro, Julia
130	Community Care Access Corporations Act, 2001	
Johns, Hon. Helen Associate Minister of Health and Long Term Care
131	Interjurisdictional Support Orders Act, 2002	
Young, Hon. David Attorney General
132	People's Access to the Facts Act, 2001	
Wood, Bob
133	Optometry Amendment Act, 2001	
Kormos, Peter
134	Tenant Protection Amendment Act (Fairness in Rent Increases), 2002	
Caplan, David
135	Heritage Hunting and Fishing Act, 2002	
Ouellette, Hon. Jerry J. Minister of Natural Resources
136	Highway Traffic Amendment Act (Motorcycle and Bicycle Helmets), 2001	
Bartolucci, Rick
137	Private Investigators and Security Guards Amendment Act, 2001	
Levac, Dave
138	Arthur Wishart Amendment Act (Franchise Disclosure), 2001	
Martin, Tony
139	University of Ontario Institute of Technology Act, 2001	
Cunningham, Hon. Dianne Minister of Training, Colleges and Universities
140	Nikkei Heritage Day Act, 2001	
Wettlaufer, Wayne
141	Fire Protection and Prevention Amendment Act, 2001	
Levac, Dave
142	United Counties of Prescott and Russell Act, 2001	
Lalonde, Jean-Marc
143	Gravesites of Former Premiers Act, 2001	
Peters, Steve
144	Democracy in Ontario Day Act, 2001	
Wood, Bob
145	Occupational Health and Safety Amendment Act, 2001	
Stockwell, Hon. Chris Minister of Labour
146	Compensation for Victims of Crime and Solicitors Statute Law Amendment Act, 2001	
Bartolucci, Rick
147	Ontario Colleges of Applied Arts and Technology Act, 2001	
Cunningham, Hon. Dianne Minister of Training, Colleges and Universities
148	Emergency Readiness Act, 2002	
Turnbull, Hon. David Solicitor General
149	Supply Act, 2001	
Flaherty, Hon. Jim Minister of Finance
150	Coroners Amendment Act, 2001	
Hoy, Pat
151	Toronto Waterfront Revitalization Corporation Act, 2002	
Ecker, Hon. Janet Minister of Finance
152	Real Estate and Business Brokers Act, 2001	
Hudak, Hon. Tim Minister of Consumer and Business Services
153	Safety in Highway Construction Zones Statute Law Amendment Act, 2001	
Hoy, Pat
154	Land Transfer Tax Amendment Act, 2001	
Kormos, Peter
155	Sustainable Water and Sewage Systems Act, 2001	
Young, Hon. David Minister of Municipal Affairs and Housing
156	Public Transportation and Highway Improvement Amendment Act (Noise Remediation), 2001	
Caplan, David
157	Centre for Excellence in Lifelong Learning Act, 2001	
Cunningham, Hon. Dianne Minister of Training, Colleges and Universities
158	Consumer Reporting Amendment Act, 2001	
Cordiano, Joseph
159	Highway Traffic Amendment Act (Passenger Vehicles), 2001	
Gill, Raminder
160	Environmental Protection Amendment Act, 2001	
O'Toole, John
161	Abolition of the Ontario Municipal Board Act, 2001	
Colle, Mike

37th Parliament, 3rd Session
Bill title search
No.	Bill title	Sponsor
PR1	Tilbury Area Public School Act (William J. Miller Trust), 2002	
Hoy, Pat
1	An Act to perpetuate an Ancient Parliamentary Right	
Harris, Hon. Michael Premier
PR2	Wycliffe College Act, 2002	
Smitherman, George
2	Ministerial Travel Accountability Act, 2001	
Bartolucci, Rick
PR3	City of Ottawa Act (Remembrance Day), 2002	
Guzzo, Garry J.
3	Safe Drinking Water Act, 2001	
Churley, Marilyn
4	Saving for Our Children's Future Act (Income Tax Amendment), 2001	
Hastings, John
PR5	Groves Memorial Community Hospital Act, 2002	
Arnott, Ted
5	Audit Statute Law Amendment Act, 2002	
Gerretsen, John
6	Protection of Minors from Sexually Explicit Goods and Services Act, 2001	
Wood, Bob
PR7	Royal Ottawa Health Care Group/Services de Santé Royal Ottawa Act, 2002	
Patten, Richard
7	Public Sector Salary Disclosure Amendment Act (Friends on the Take), 2001	
Bartolucci, Rick
8	Canadian National Anthem Act, 2001	
Colle, Mike
PR8	1397399 Ontario Inc. Act, 2002	
O'Toole, John
PR9	Elliott Act, 2002	
Arnott, Ted
9	Student Health and Safety Programs Act, 2001	
Gravelle, Michael
PR10	Royal Ottawa Health Care Group/Services de Santé Royal Ottawa Act, 2002	
Patten, Richard
10	Limitations Act, 2001	
Young, Hon. David Attorney General
11	Remembrance Day Observance Amendment Act, 2001	
Wood, Bob
PR11	Town of Erin Act, 2002	
Arnott, Ted
12	An Act to perpetuate an Ancient Parliamentary Right	
Witmer, Hon. Elizabeth Deputy Premier
PR12	Municipality of Chatham-Kent Act, 2002	
Beaubien, Marcel
13	Electricity Amendment Act (Hydro Transmission Corridor Lands), 2002	
Sergio, Mario
14	Fairness is a Two-Way Street Act (Miners and Forestry Workers), 2002	
Ramsay, David
PR14	Redeemer University College Act, 2002	
Wood, Bob
PR15	Toronto Atmospheric Fund Act, 2002	
Gilchrist, Steve
15	Greater Judicial Appointments Accountability Act, 2001	
Wood, Bob
16	Education Amendment Act (Restoring Peace in Our Schools), 2001	
McGuinty, Dalton
17	Ontario Natural Heritage Act, 2001	
Gilchrist, Steve
PR17	Reena Foundation Act, 2002	
Arnott, Ted
18	Sir John A. Macdonald Highway Act, 2002	
Gilchrist, Steve
19	Registered Plan Exemption Act (Retirement Savings and Education Savings), 2002	
Cordiano, Joseph
20	Occupational Health and Safety Amendment Act (Workplace Carcinoma Committee), 2002	
Bartolucci, Rick
21	Pierre Elliott Trudeau Highway Act, 2002	
Lalonde, Jean-Marc
PR22	City of Toronto Act (Rental Housing Units), 2001	
Bryant, Michael
22	Protection of Children involved in Prostitution Act, 2001	
Bartolucci, Rick
23	Highway Traffic Amendment Act (Youth Protection), 2001	
Bartolucci, Rick
24	Muncipal Amendment Act (Adult Entertainment Parlors), 2001	
Bartolucci, Rick
25	Solicitors Amendment Act (Contingency Fee Agreements), 2002	
Bryant, Michael
PR26	Ajax Pickering Transit Authority Act, 2001	
O'Toole, John
26	Victims of Identity Theft Act, 2002	
Bryant, Michael
27	Tommy Douglas Act (Patients' Bill of Rights), 2002	
Martel, Shelley
28	Human Rights Code Amendment Act, 2001	
Ramsay, David
29	Oak Ridges Moraine Green Planning Act, 2001	
Churley, Marilyn
30	Volunteer Firefighters Employment Protection Act, 2002	
Arnott, Ted
31	Labour Relations Amendment Act, 2001	
Martel, Shelley
32	Petroleum Products Price Freeze Act, 2001	
Bartolucci, Rick
33	Jay Lawrence and Bart Mackey Memorial Act (Highway Traffic), 2001	
Galt, Doug
34	Dave Ellis Memorial Occupational Health and Safety Amendment Act, 2001	
Agostino, Dominic
35	Irish Heritage Day Act, 2001	
O'Toole, John
36	Truth About Ipperwash Act, 2001	
Phillips, Gerry
37	Affordable Housing Incentives Act, 2001	
Caplan, David
38	Rent Freeze Act, 2001	
Marchese, Rosario
39	Employment Standards Amendment Act (Raising the Minimum Wage), 2001	
Hampton, Howard
40	Family Responsibility and Support Arrears Enforcement Amendment Act, 2001	
Wettlaufer, Wayne
41	Day Nurseries Amendment Act, 2001	
Lalonde, Jean-Marc
42	Oak Ridges Moraine Conservation, Protection and Promotion Act, 2001	
Colle, Mike
43	City of Greater Sudbury Amendment Act, 2001	
Bartolucci, Rick
44	Gas Price Watchdog Act, 2001	
Colle, Mike
45	School Bus Driver Appreciation Week Act, 2002	
Parsons, Ernie
46	Public Sector Accountability Act, 2001	
Flaherty, Hon. Jim Minister of Finance
47	Highway Traffic Amendment Act (Driving While Suspended), 2001	
Bartolucci, Rick
48	Inquiry into Police Investigations of Sexual Abuse Against Minors in the Cornwall Area Act, 2001	
Guzzo, Garry J.
49	Highway Traffic Amendment Act (Cellular Phones), 2002	
O'Toole, John
50	Improved Safety on 400 Series Highways Act, 2001	
Mazzilli, Frank
51	Portable Heart Defibrillator Act, 2001	
Colle, Mike
52	Legislative Assembly Amendment Act, 2001	
O'Toole, John
53	Public Sector Employee's Severance Pay Disclosure Act, 2002	
Bountrogianni, Marie
54	Retail Sales Tax Amendment Act, 2001	
Parsons, Ernie
55	Electricity Amendment Act (Consumer Protection), 2002	
Hampton, Howard
56	Genocide Memorial Week Act, 2002	
Wood, Bob
57	Family Restroom Facilities Act, 2002	
Parsons, Ernie
58	Reliable Energy and Consumer Protection Act, 2002	
Stockwell, Hon. Chris Minister of Environment and Energy
59	Trafalgar Moraine Protection Act, 2002	
Colle, Mike
60	Victim Empowerment Act, 2002	
Sampson, Hon. Rob Minister of Correctional Services
61	Firearms Secure Locking Devices Act, 2001	
Bryant, Michael
62	Physical Fitness Day Act, 2001	
O'Toole, John
63	Tenant Protection Amendment Act, 2001	
Marchese, Rosario
64	Technology for Classrooms Tax Credit Statute Law Amendment Act, 2001	
Hastings, John
65	Post-secondary Education Student Opportunity Act, 2002	
Cunningham, Hon. Dianne Minister of Training, Colleges and Universities
66	Health Protection and Promotion Amendment Act (Food Handlers), 2002	
Pupatello, Sandra
67	Ontario Energy Board Amendment Act (Electricity Rates), 2001	
Lalonde, Jean-Marc
68	Health Insurance Amendment Act, 2001	
Duncan, Dwight
69	Prohibiting Profiting from Recounting Crimes Act, 2002	
Young, Hon. David Attorney General
70	Occupational Health and Safety Amendment Act (Workplace Violence), 2001	
Bartolucci, Rick
71	Collection Agencies Amendment Act, 2002	
Sergio, Mario
72	Fish and Wildlife Conservation Amendment Act (Double-Crested Cormorants), 2001	
Brown, Michael A.
73	Electricity Amendment Act (Consumer Protection), 2001	
Hampton, Howard
74	Marriage Amendment Act, 2002	
Murdoch, Bill
75	Legislative Assembly Amendment Act, 2001	
Murdoch, Bill
76	Farm Implements Amendment Act, 2001	
Barrett, Toby
77	Adoption Disclosure Statute Law Amendment Act, 2001	
Churley, Marilyn
78	Occupational Health and Safety Amendment Act (Sexual Harassment), 2001	
Hoy, Pat
79	Private Investigators and Security Guards Amendment Act, 2002	
Sergio, Mario
80	Hydro One Inc. Directors and Officers Act, 2002	
Stockwell, Hon. Chris Minister of Environment and Energy
81	Nutrient Management Act, 2002	
Coburn, Hon. Brian Minister of Agriculture, Food and Rural Affairs
82	Clean Up Hydro One Act, 2002	
Hampton, Howard
83	United Counties of Prescott and Russell Act, 2001	
Lalonde, Jean-Marc
84	Keele Valley Closure Act, 2001	
McGuinty, Dalton
85	Electricity Amendment Act (Hydro Salary Disclosure), 2002	
McGuinty, Dalton
86	Rescuing Children from Sexual Exploitation Act, 2002	
Young, Hon. David Attorney General
87	Truth About Ipperwash Act, 2002	
Phillips, Gerry
88	Ontario College of Art & Design Act, 2001	
Cunningham, Hon. Dianne Minister of Training, Colleges and Universities
89	Respect for Victims of Crime Act, 2001	
Bryant, Michael
90	Waste Diversion Act, 2002	
Stockwell, Hon. Chris Minister of the Environment
91	Income Tax Amendment Act (Intercountry Adoption Tax Credit), 2001	
Cordiano, Joseph
92	Child and Family Services Amendment Act (Access to Child Abuse Register), 2002	
Parsons, Ernie
93	Audit Amendment Act (Fairness in Municipal Finances), 2001	
McMeekin, Ted
94	Neighbourhoods and Affordable Rental Housing Protection and Preservation Act, 2001	
Colle, Mike
95	Ethics and Transparency in Public Matters Act, 2002	
Di Cocco, Caroline
96	Highway Traffic Amendment Act, 2001	
Levac, Dave
97	Democratic Heritage Archaeological Preservation Act, 2001	
Marchese, Rosario
98	Canada and Ontario Flag Days Act, 2002	
Gilchrist, Steve
99	Save Our Architectural Heritage Act, 2001	
Marchese, Rosario
100	Election Amendment Act, 2002	
Conway, Sean
101	Student Protection Act, 2002	
Ecker, Hon. Janet Minister of Education
102	Anti-Price-Gouging Act, 2001	
Bartolucci, Rick
103	Martyrs' Shrine Day Act, 2001	
Dunlop, Garfield
104	Building Code Amendment Act (Biker Gang Clubhouses), 2001	
Bryant, Michael
105	Animal Cruelty Prevention Act 2002	
Colle, Mike
106	World Teachers' Day Act, 2001	
Marchese, Rosario
107	Michael Maxwell Act (Health Insurance Act Amendments), 2002	
Martel, Shelley
108	Capital City of Canada (Ottawa) Languages Act, 2001	
Lalonde, Jean-Marc
109	Keeping the Promise for Growth and Prosperity Act (2002 Budget), 2002	
Ecker, Hon. Janet Minister of Finance
110	Mega-Hog Farm Control Act, 2002	
Lalonde, Jean-Marc
111	Highway Traffic Amendment Act (Helmets), 2002	
Levac, Dave
112	Protection of Children on School Buses Act, 2002	
Hoy, Pat
113	Firefighters' Memorial Act, 2002	
Wood, Bob
114	Niagara Health System Elections Act, 2002	
Kormos, Peter
115	Propaganda Accountability Act, 2001	
Kormos, Peter
116	Archives Awareness Week Act, 2002	
Johnson, Bert
117	Congenital Heart Defects Awareness Day Act, 2002	
Spina, Joe
118	Ontario Disability Support Program Amendment Act (Fairness in Disability Income Support Payments), 2002	
Martin, Tony
119	Highway Traffic Amendment Act (Studded Tires), 2001	
Bartolucci, Rick
120	Carlie Myke and Brandon White Act (Safe School Zones Highway Traffic Amendment), 2002	
Levac, Dave
121	Education Amendment Act (Appropriate Use of Technology in Schools), 2001	
Caplan, David
122	Ontario Disability Support Program Amendment Act, 2002	
Parsons, Ernie
123	Epidermolysis Bullosa Awareness Week Act, 2001	
Kennedy, Gerard
124	Building Code Statute Law Amendment Act, 2002	
Hodgson, Hon. Chris Minister of Municipal Affairs and Housing
125	LCBO Deposit and Return Act, 2002	
Colle, Mike
126	Highway Traffic Amendment Act (Photo-radar), 2001	
Hoy, Pat
127	Ontario Water Resources Amendment Act (Water Source Protection), 2002	
Dombrowsky, Leona
128	Highway Memorials for Fallen Police Officers Act, 2002	
Bartolucci, Rick
129	Ontario Society for the Prevention of Cruelty to Animals Amendment Act, 2002	
Munro, Julia
130	Child and Family Services Amendment Act, 2002	
Bartolucci, Rick
131	Interjurisdictional Support Orders Act, 2002	
Young, Hon. David Attorney General
132	People's Access to the Facts Act, 2001	
Wood, Bob
133	Optometry Amendment Act, 2001	
Kormos, Peter
134	Tenant Protection Amendment Act (Fairness in Rent Increases), 2002	
Caplan, David
135	Heritage Hunting and Fishing Act, 2002	
Ouellette, Hon. Jerry J. Minister of Natural Resources
136	Highway Traffic Amendment Act (Motorcycle and Bicycle Helmets), 2001	
Bartolucci, Rick
137	Private Investigators and Security Guards Amendment Act, 2001	
Levac, Dave
138	Arthur Wishart Amendment Act (Franchise Disclosure), 2001	
Martin, Tony
139	University of Ontario Institute of Technology Act, 2001	
Cunningham, Hon. Dianne Minister of Training, Colleges and Universities
140	Nikkei Heritage Day Act, 2001	
Wettlaufer, Wayne
141	Fire Protection and Prevention Amendment Act, 2001	
Levac, Dave
142	United Counties of Prescott and Russell Act, 2001	
Lalonde, Jean-Marc
143	Gravesites of Former Premiers Act, 2001	
Peters, Steve
144	Democracy in Ontario Day Act, 2001	
Wood, Bob
145	Official Reports in Two Languages Parity Act, 2002	
Bisson, Gilles
146	Compensation for Victims of Crime and Solicitors Statute Law Amendment Act, 2001	
Bartolucci, Rick
147	Ontario Colleges of Applied Arts and Technology Act, 2001	
Cunningham, Hon. Dianne Minister of Training, Colleges and Universities
148	Emergency Readiness Act, 2002	
Turnbull, Hon. David Solicitor General
149	Red Light Cameras Pilot Projects Extension Act, 2002	
Sterling, Hon. Norman W. Minister of Transportation
150	Coroners Amendment Act, 2001	
Hoy, Pat
151	Toronto Waterfront Revitalization Corporation Act, 2002	
Ecker, Hon. Janet Minister of Finance
152	Real Estate and Business Brokers Act, 2001	
Hudak, Hon. Tim Minister of Consumer and Business Services
153	Safety in Highway Construction Zones Statute Law Amendment Act, 2001	
Hoy, Pat
154	Land Transfer Tax Amendment Act, 2001	
Kormos, Peter
155	Sustainable Water and Sewage Systems Act, 2001	
Young, Hon. David Minister of Municipal Affairs and Housing
156	Public Transportation and Highway Improvement Amendment Act (Noise Remediation), 2001	
Caplan, David
157	Centre for Excellence in Lifelong Learning Act, 2001	
Cunningham, Hon. Dianne Minister of Training, Colleges and Universities
158	Consumer Reporting Amendment Act, 2001	
Cordiano, Joseph
159	Highway Traffic Amendment Act (Passenger Vehicles), 2001	
Gill, Raminder
160	Environmental Protection Amendment Act, 2001	
O'Toole, John
161	Abolition of the Ontario Municipal Board Act, 2001	
Colle, Mike
162	Care Homes Act, 2002	
McLeod, Lyn
163	Gasoline Consumer Protection Act, 2002	
Crozier, Bruce
164	Ban on Drive-Through Restaurants in Toronto Act, 2002	
Bryant, Michael
165	Collision Repair Standards Act, 2002	
Klees, Frank
166	Insurance Statute Law Amendment Act (Automobile Insurance), 2002	
Sampson, Rob
167	Anaphylactic Students Protection Act, 2002	
Levac, Dave
168	Welland Hydro Elections Act, 2002	
Kormos, Peter
169	MPPs Pension Plan Study Act, 2002	
Murdoch, Bill
170	Highway Traffic Amendment Act (School Buses), 2002	
Parsons, Ernie
171	Highway Traffic Amendment Act (Turn Safety), 2002	
Kormos, Peter
172	Flags at Half-Mast Act, 2002	
Chudleigh, Ted
173	St. James' Cathedral Sightlines Protection Act, 2002	
Smitherman, George
174	City of Toronto Labour Disputes Resolution Act, 2002	
Clark, Hon. Brad Minister of Labour
175	Sustainable Water and Sewage Systems Act, 2002	
Stockwell, Hon. Chris Minister of the Environment
176	Family Health Benefits Act, 2002	
Martiniuk, Gerry
177	Municipal Statute Law Amendment Act, 2002	
Hodgson, Hon. Chris Minister of Municipal Affairs and Housing
178	Solicitors Amendment Act (Contingency Fee Agreements), 2002	
Bryant, Michael
179	Government Efficiency Act, 2002	
Flaherty, Hon. Jim Minister of Enterprise, Opportunity and Innovation
180	Consumer Protection Statute Law Amendment Act, 2002	
Hudak, Hon. Tim Minister of Consumer and Business Services
181	Legal Aid Services Amendment Act, 2002	
Young, Hon. David Attorney General
182	Representation Amendment Act (Northern Ontario), 2002	
Brown, Michael A.
183	Ontario Water Resources Amendment Act, 2002	
Marland, Margaret
184	Rouge Park Week Act, 2002	
Gilchrist, Steve
185	Representation Amendment Act (Waterloo-Wellington-Kitchener Exception), 2002	
Arnott, Ted
186	Collision Repair Standards Act, 2002	
Sampson, Rob
187	Agricultural Employees Protection Act, 2002	
Johns, Hon. Helen Minister of Agriculture and Food
188	Municipal Amendment Act (Simcoe Day), 2002	
Gilchrist, Steve
189	Removal of Occupational Barriers Act, 2002	
Ruprecht, Tony
190	Stalkers Registry Act, 2002	
Bartolucci, Rick
191	Highway Traffic Amendment Act (Emergency Vehicle Safety), 2002	
Runciman, Hon. Robert W. Minister of Public Safety and Security
192	Motor Vehicle Manufacturer's Warranty Act, 2002	
Sampson, Rob
193	Celebration of Hellenic Heritage Act, 2002	
Bountrogianni, Marie
194	Fire Prevention Week and Firefighter Recognition Day Act, 2002	
Wood, Bob
195	Safe Drinking Water Act, 2002	
Stockwell, Hon. Chris Minister of the Environment
196	Autism Awareness Month Act, 2002	
Wood, Bob
197	Ontario Energy Board Amendment Act, 2002	
Crozier, Bruce
198	Keeping the Promise for a Strong Economy Act (Budget Measures), 2002	
Ecker, Hon. Janet Minister of Finance
199	Keeping Water in Public Hands Act, 2002	
Caplan, David
200	Investor Protection Act (Business Corporations and Public Accountancy), 2002	
Hampton, Howard
201	Motorcycle Awareness Week Act, 2002	
Stewart, Gary
202	Environmental Protection Amendment Act (Industrial Facilities), 2002	
Levac, Dave
203	Ontario Disability Support Program Amendment Act, 2002	
Parsons, Ernie
204	No Freezing in the Dark Act (Ontario Energy Board Amendment), 2002	
Hampton, Howard
205	Graffiti and Advertising Signs Control Act, 2002	
Kells, Morley
206	Transparency in Public Matters Act, 2002	
Di Cocco, Caroline
207	Retail Sales Tax Relief for Amateur Youth Sports Act, 2002	
Sampson, Rob
208	Municipal Amendment Act (Prohibiting Use of Pesticides), 2002	
Patten, Richard
209	Funeral, Burial and Cremation Services Act, 2002	
Hudak, Hon. Tim Minister of Consumer and Business Services
210	Electricity Pricing, Conservation and Supply Act, 2002	
Baird, Hon. John R. Minister of Energy
211	Back to School Act (Simcoe Muskoka Catholic District School Board), 2002	
Clark, Hon. Brad Minister of Labour
212	Man Who Wasn't There Act, 2002	
Kormos, Peter
213	Justice Statute Law Amendment Act, 2002	
Young, Hon. David Attorney General
214	Labour Relations Amendment Act, 2002	
Kormos, Peter
215	Rent Freeze and Rent Control Act, 2002	
Prue, Michael
216	Accountability for Expenses Act (Cabinet Ministers and Opposition Leaders), 2002	
Tsubouchi, Hon. David H. Chair of the Management Board of Cabinet
217	Tenant Protection Amendment Act (Hydro Exception), 2002	
Agostino, Dominic
218	Audit Amendment Act, 2002	
O'Toole, John
219	Consultants Boondoggle Freeze Act, 2002	
Colle, Mike
220	Police Services Amendment Act (Independent Police Complaints Commissioner), 2002	
Hampton, Howard
221	Eves Toll Road Act, 2002	
Phillips, Gerry
222	Genocide Memorial Week Act, 2002	
Wood, Bob
223	Ontario Heritage Day Act, 2002	
Agostino, Dominic
224	Condominium Amendment Act (Transient Tenancies), 2002	
Smitherman, George
225	Electricity Amendment Act, 2002	
Lalonde, Jean-Marc
226	Jay Lawrence and Bart Mackey Memorial Act (Highway Traffic Amendment), 2002	
McDonald, AL
227	Food Safety and Quality Amendment Act, 2002	
Peters, Steve
228	Canterbury College	
Pupatello, Sandra
229	Supply Act, 2002	
Ecker, Hon. Janet Minister of Finance
230	Adult Protection Act, 2002	
Bartolucci, Rick
231	Edible Oil Products Repeal Date Amendment Act, 2002	
Johns, Hon. Helen Minister of Agriculture and Food
232	Safety of Children in Supervised Play Settings Act, 2002	
McLeod, Lyn
233	Assessment Amendment Act (Improvements for Seniors and the Disabled), 2002	
Christopherson, David
234	Rural Red Tape Reduction Act, 2002	
Hardeman, Hon. Ernie Associate Minister of Municipal Affairs and Housing Responsible for Rural Affairs
235	Freeze on Hog Farms Act, 2002	
Lalonde, Jean-Marc
236	Environmental Protection Amendment Act (Pre-Treatment of Hazardous Waste), 2002	
Di Cocco, Caroline
237	Ministry of Correctional Services Amendment Act, 2002	
Sampson, Rob
238	Ontario Drinking Water Source Protection Act, 2002	
Churley, Marilyn
239	Recreation Reserve Act, 2002	
Ouellette, Hon. Jerry J. Minister of Natural Resources
240	Ontario Workers' Memorial Act, 2002	
Agostino, Dominic
241	Road Safety Act, 2002	
Klees, Hon. Frank Minister of Transportation
242	Ontario Educational Communications Authority Amendment Act, 2002	
Boyer, Claudette
243	Tenant Protection Amendment Act (Fairness in Rent Increases), 2002	
Bryant, Michael
244	Seniors' Protection Act, 2002	
Colle, Mike

37th Parliament, 4th Session
Bill title search
No.	Bill title	Sponsor
1	SARS Assistance and Recovery Strategy Act, 2003	
Eves, Hon. Ernie Minister of Intergovernmental Affairs
2	Highway Traffic Amendment Act (No Conveying of Passengers for Compensation), 2003	
Gill, Raminder
3	Highway Traffic Amendment Act (Cellular Phones), 2003	
O'Toole, John
4	Genocide Memorial Week Act, 2003	
Wood, Bob
5	America Day Act, 2003	
Hastings, John
PR6	Society of Professional Accountants of Ontario Act, 2003	
Gill, Raminder
6	Audit Statute Law Amendment Act, 2003	
Gerretsen, John
7	Ontario Energy Board Amendment Act (Great Lakes Power Exception), 2003	
Brown, Michael A.
8	Greater Judicial Appointments Accountability Act, 2003	
Wood, Bob
9	Autism Awareness Month Act, 2003	
Wood, Bob
10	Fire Prevention Week and Firefighter Recognition Act, 2003	
Wood, Bob
11	Democracy in Ontario Day Act, 2003	
Wood, Bob
PR12	Municipality of Chatham-Kent Act, 2003	
Beaubien, Marcel
12	People's Access to the Facts Act, 2003	
Wood, Bob
13	Protection of Minors from Sexually Explicit Goods and Services Act, 2003	
Wood, Bob
14	Remembrance Day Observance Amendment Act, 2003	
Wood, Bob
PR14	Redeemer University College Act, 2003	
Jackson, Cameron
15	Norouz Day Act, 2003	
Caplan, David
PR16	Canterbury University College Act, 2003	
Pupatello, Sandra
16	Adoption Disclosure Statute Law Amendment Act, 2003	
Churley, Marilyn
17	Organ or Tissue Donation Statute Law Amendment Act, 2003	
Gilchrist, Steve
18	Representation Amendment Act (Northern Ontario), 2003	
Brown, Michael A.
PR18	County of Haliburton Act, 2003	
Hodgson, Chris
19	Anaphylactic Students Protection Act, 2003	
Levac, Dave
PR19	Institute for Christian Studies Act, 2003	
Marchese, Rosario
PR20	Thunder Bay Community Foundation Act, 2003	
Gravelle, Michael
20	Road Safety Act, 2003	
Klees, Hon. Frank Minister of Transportation
PR21	Tyndale University College & Seminary Act, 2003	
Dunlop, Garfield
21	Fish and Wildlife Conservation Amendment Act (Double-Crested Cormorants), 2003	
Brown, Michael A.
22	Carlie Myke and Brandon White Act (Safe School Zones Highway Traffic Amendment), 2003	
Levac, Dave
23	Ontario Energy Board Consumer Protection and Governance Act, 2003	
Baird, Hon. John R. Minister of Energy
PR23	Kitchener-Waterloo Foundation Act, 2003	
Wettlaufer, Wayne
24	Protection of Children on School Buses Act, 2003	
Hoy, Pat
PR24	Caledon Teen Ranch Act, 2003	
Arnott, Ted
25	Smart Transportation Act, 2003	
Klees, Hon. Frank Minister of Transportation
26	Occupational Health and Safety Amendment Act, 2003	
Agostino, Dominic
27	Trafalgar Moraine Protection Act, 2003	
Colle, Mike
28	Back to School (Toronto Catholic Elementary) and Education and Provincial Schools Negotiations Amendment Act, 2003	
Eves, Hon. Ernie Minister of Intergovernmental Affairs
29	People's Access to the Facts Act, 2003	
Wood, Bob
30	Adult Protection Act, 2003	
Bartolucci, Rick
31	Democratic Heritage Archaeological Preservation Act, 2003	
Marchese, Rosario
32	Ontario Water Resources Amendment Act, 2003	
Marland, Margaret
33	Gas Price Watchdog Act, 2003	
Gravelle, Michael
34	Representation Amendment Act (Waterloo-Wellington-Kitchener), 2003	
Arnott, Ted
35	Ontario Water Resources Amendment Act (Water Source Protection), 2003	
Dombrowsky, Leona
36	Ontario Drinking Water Source Protection Act, 2003	
Churley, Marilyn
37	Ontario Workers' Memorial Act, 2003	
Agostino, Dominic
38	Child and Family Services Amendment Act, 2003	
Bartolucci, Rick
39	No Hog Factories Act, 2003	
Churley, Marilyn
40	Motor Vehicle Manufacturer's Warranty Act, 2003	
Sampson, Rob
41	The Right Choices Act (Budget Measures), 2003	
Ecker, Hon. Janet Minister of Finance
42	Student Health and Safety Programs Act, 2003	
Gravelle, Michael
43	Ontario Home Property Tax Relief for Seniors Act, 2003	
Ecker, Hon. Janet Minister of Finance
44	Occupational Health and Safety Amendment Act (Workplace Carcinoma Committee), 2003	
Bartolucci, Rick
45	Inquiry into Police Investigations of Complaints of Sexual Abuse Against Minors in the Cornwall Area Act, 2003	
Guzzo, Garry J.
46	Truth About Ipperwash Act, 2003	
Phillips, Gerry
47	Retail Sales Tax Relief for Amateur Youth Sports Act, 2003	
Sampson, Rob
48	Business Corporations Amendment Act (Limiting Compulsory Acquisitions), 2003	
Pupatello, Sandra
49	Seniors' Protection Act, 2003	
Colle, Mike
50	Ministry of Correctional Services Amendment Act, 2003	
Sampson, Rob
51	Occupational Health and Safety Amendment Act (Workplace Violence), 2003	
Bartolucci, Rick
52	Labour Relations Amendment Act, 2003	
Kormos, Peter
53	The Right Choices for Equity in Education Act (Budget Measures), 2003	
Ecker, Hon. Janet Minister of Finance
54	Ministry of Citizenship and Culture Amendment Act, 2003	
Beaubien, Marcel
55	Occupational Health and Safety Amendment Act (Sexual Harassment), 2003	
Hoy, Pat
56	Tommy Douglas Act (Patients' Bill of Rights), 2003	
Martel, Shelley
57	Rural Red Tape Reduction Act, 2003	
Hardeman, Hon. Ernie Associate Minister of Municipal Affairs and Housing Responsible for Rural Affairs
58	Gasoline Consumer Protection Act, 2003	
Crozier, Bruce
59	Ontario Disability Support Program Amendment Act (Fairness in Disability Income Support Payments), 2003	
Martin, Tony
60	Disclosure and Protection of Adoption Information Act, 2003	
Wettlaufer, Wayne
61	Toronto Catholic Elementary Schools Stability and Good Will Promotion Act, 2003	
Kennedy, Gerard
62	Police Services Amendment Act (Independent Police Complaints Commissioner), 2003	
Hampton, Howard
63	Compensation for Victims of Crime Amendment Act, 2003	
Bartolucci, Rick
64	Health Insurance Amendment Act, 2003	
Duncan, Dwight
